ModelID,ScenarioID,TemperatureID,tkID,tkYr,tkUR,edID,edYr,edUR,maxUR
4,6,1,8,2025,0.0519059957255024,33,2050,0.0512145668170494,0.612529585798817
4,15,1,8,2025,0.0519059957255024,33,2050,0.050607133198794,0.612529585798817
4,18,1,8,2025,0.0519060658324816,33,2050,0.0505791565379525,0.612529585798817
4,19,1,8,2025,0.0521317594190504,33,2050,0.0489657054749947,0.612529585798817
4,28,1,8,2025,0.0519063565125668,33,2050,0.0504308264831811,0.612529585798817
7,37,1,0,0,0,0,0,0,0.472692307692308
20,1,1,0,2025,0.0195427551722417,25,2050,0.174172624066714,0.472692307692308
20,60,1,0,2025,0.0195427551722417,25,2050,0.223976539070602,0.472692307692308
4,47,1,8,2025,0.0520498258307248,33,2050,0.0487930947171173,0.612529585798817
20,99,2,0,2025,0.0195424553384936,25,2050,0.0697116038716047,0.472692307692308
4,48,2,8,2025,0.0518877203820755,33,2050,0.0500700824080891,0.612529585798817
20,14,2,0,2025,0.0195427551722417,25,2050,0.147018237743627,0.472692307692308
20,41,2,0,2025,0.0195427551722417,25,2050,0.0971690394069017,0.472692307692308
27,135,2,1,2025,0.0216872823467417,26,2050,0.148157145719459,0.491227810650888
4,137,2,8,2025,0.0518328865808993,33,2050,0.0522769862357855,0.612529585798817
4,147,2,8,2025,0.0519407674444805,33,2050,0.0498066578811704,0.612529585798817
4,60,2,8,2025,0.0518874697916546,33,2050,0.0502660188382042,0.612529585798817
20,165,3,0,2025,0.019466383232881,25,2050,0.095556774876254,0.472692307692308
20,158,3,0,2025,0.0195427551722417,25,2050,0.113432500876306,0.472692307692308
30,182,3,6,2025,0.0202269690800356,13,2032,0.019424067947576,0.140384615384615
20,195,3,0,2025,0.0195382274802477,25,2050,0.0528964324551776,0.472692307692308
20,177,3,0,2025,0.0195349565776867,25,2050,0.0441141922759498,0.472692307692308
20,152,3,0,2025,0.019466383232881,25,2050,0.110866608306749,0.472692307692308
20,101,3,0,2025,0.0195406882257754,25,2050,0.0590291606810964,0.472692307692308
20,184,3,0,2025,0.019466383232881,25,2050,0.069784086657078,0.472692307692308
20,178,3,0,2025,0.0195320973819432,25,2050,0.036930997336873,0.472692307692308
20,192,3,0,2025,0.0195424553384936,25,2050,0.0697116038716047,0.472692307692308
20,205,3,0,2025,0.0195332402082491,25,2050,0.0390172346588017,0.472692307692308
20,172,3,0,2025,0.0195401048102727,25,2050,0.056873100720503,0.472692307692308
20,123,3,0,2025,0.0195427551722417,25,2050,0.164096795910326,0.472692307692308
20,197,4,0,2025,0.019466383232881,25,2050,0.060941907530212,0.472692307692308
20,193,4,0,2025,0.019466383232881,25,2050,0.0364393637623237,0.472692307692308
20,320,4,0,2025,0.0195257045309006,25,2050,0.0301421810150809,0.472692307692308
20,303,4,0,2025,0.019466383232881,25,2050,0.0323335263544589,0.472692307692308
20,308,4,0,2025,0.019466383232881,25,2050,0.0343985873221635,0.472692307692308
20,213,4,0,2025,0.0195258450706707,25,2050,0.0301431183016612,0.472692307692308
20,305,4,0,2025,0.0195231778422871,25,2050,0.0301422940066438,0.472692307692308
20,343,5,0,2025,0.019466383232881,25,2050,0.0301357638345518,0.472692307692308
20,324,5,0,2025,0.0195185884616624,25,2050,0.0301394215201239,0.472692307692308
21,360,5,0,2032,0.0194742090978832,18,2050,0.0263456646937033,0.255325443786982
27,359,5,1,2025,0.0216872823467417,26,2050,0.183692805441543,0.491227810650888
20,304,5,0,2025,0.019466383232881,25,2050,0.031512998218743,0.472692307692308
20,368,5,0,2025,0.0195144834383099,25,2050,0.0301397458057009,0.472692307692308
20,384,5,0,2025,0.019466383232881,25,2050,0.0301371135236201,0.472692307692308
20,358,5,0,2025,0.019466383232881,25,2050,0.0301357638345518,0.472692307692308
20,314,5,0,2025,0.0195185884616624,25,2050,0.0301394215201239,0.472692307692308
20,347,5,0,2025,0.0195144834383099,25,2050,0.0301397458057009,0.472692307692308
21,436,6,0,2032,0.019348466084172,18,2050,0.0744467840028265,0.255325443786982
25,350,6,0,2026,0.0209170526062082,24,2050,0.0699741510599226,0.450976331360947
20,381,6,0,2025,0.019466383232881,25,2050,0.0300912496879558,0.472692307692308
27,383,6,1,2025,0.0220739670057063,26,2050,0.0569021509172716,0.491227810650888
25,462,7,0,2026,0.0197682815709025,24,2050,0.0310947094456296,0.450976331360947
25,493,7,0,2028,0.0202047140759993,22,2050,0.0299957147732478,0.369038461538462
11,497,7,0,0,0,0,0,0,0.472692307692308
11,478,7,0,0,0,0,0,0,0.472692307692308
27,503,7,0,2026,0.0201302652277706,24,2050,0.0913940778684489,0.450976331360947
21,473,7,0,2034,0.0194980799112171,16,2050,0.059661181683365,0.192736686390533
27,478,7,0,2026,0.0200105547707778,24,2050,0.0291358424986512,0.450976331360947
27,463,7,0,2026,0.0193615426300045,24,2050,0.0324842143808101,0.450976331360947
20,462,7,0,2025,0.0194616558464129,25,2050,0.0313172517899033,0.472692307692308
27,449,7,1,2025,0.0220739670057063,26,2050,0.05940909846197,0.491227810650888
25,381,7,0,2025,0.0194428075981407,25,2050,0.0682627370542873,0.472692307692308
2,531,8,7,2025,0.0223501717775798,22,2040,0.0194848263137804,0.369038461538462
2,533,8,7,2025,0.0225908194426772,22,2040,0.0197143402468507,0.369038461538462
40,536,8,0,0,0,0,0,0,0.472692307692308
2,537,8,7,2025,0.0223562158035373,22,2040,0.0194908703397379,0.369038461538462
21,538,8,0,0,0,0,0,0,0.472692307692308
40,539,8,0,0,0,0,0,0,0.472692307692308
40,540,8,0,0,0,0,0,0,0.472692307692308
40,541,8,0,0,0,0,0,0,0.472692307692308
