ModelID,ScenarioID,TemperatureID,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50
20,197,4,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,343,5,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,165,3,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,324,5,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
25,462,7,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
4,6,1,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
21,436,6,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
25,350,6,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
2,531,8,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,158,3,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
30,182,3,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
21,360,5,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,381,6,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
4,15,1,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,195,3,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
4,18,1,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
4,19,1,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,99,2,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,193,4,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
27,359,5,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
4,48,2,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,177,3,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
2,533,8,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
25,493,7,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
4,28,1,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,152,3,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
11,497,7,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,320,4,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
11,478,7,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,304,5,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
7,37,1,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,1,1,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
27,503,7,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
20,14,2,7.26951708984375,9.746141796875,12.2227665039063,14.6993912109375,17.1760159179688,19.652640625,59.9381925,100.223744375,140.50929625,180.794848125,221.0804,471.37554,721.67068,971.96582,1222.26096,1472.5561,2261.4044,3050.2527,3839.101,4627.9493,5416.7976,5943.40136,6470.00512,6996.60888,7523.21264,8049.8164,8108.39798,8166.97956,8225.56114,8284.14272,8342.7243,8315.80428,8288.88426,8261.96424,8235.04422,8208.1242,8320.39548,8432.66676,8544.93804,8657.20932,8769.4806
